,trip_date,city,trip_count
572,2017-09-09,boston,4996
573,2017-09-09,sf,2539
574,2017-09-10,boston,4736
575,2017-09-10,sf,2041
576,2017-09-10,nyc,61687
577,2017-09-11,sf,3378
578,2017-09-11,nyc,73225
579,2017-09-11,boston,6453
580,2017-09-12,boston,6962
581,2017-09-12,sf,3919
582,2017-09-12,nyc,75917
583,2017-09-13,boston,6866
584,2017-09-13,nyc,70794
585,2017-09-13,sf,3722
586,2017-09-14,sf,3784
587,2017-09-14,boston,6574
588,2017-09-14,nyc,73366
589,2017-09-15,nyc,73639
590,2017-09-15,sf,3606
591,2017-09-15,boston,5804
592,2017-09-16,boston,5061
593,2017-09-16,sf,2428
594,2017-09-16,nyc,62045
595,2017-09-17,boston,4743
596,2017-09-17,nyc,60967
597,2017-09-17,sf,2554
598,2017-09-18,nyc,65366
599,2017-09-18,sf,3754
600,2017-09-18,boston,5987
601,2017-09-19,sf,4098
602,2017-09-19,boston,5304
603,2017-09-19,nyc,59015
604,2017-09-20,sf,3877
605,2017-09-20,boston,3557
606,2017-09-20,nyc,72482
607,2017-09-21,sf,3965
608,2017-09-21,boston,6020
609,2017-09-21,nyc,69088
610,2017-09-22,nyc,71430
611,2017-09-22,sf,3918
612,2017-09-22,boston,4066
613,2017-09-23,boston,5289
614,2017-09-23,nyc,63764
615,2017-09-23,sf,2435
616,2017-09-24,sf,2114
617,2017-09-24,nyc,58420
618,2017-09-24,boston,5077
619,2017-09-25,sf,3763
620,2017-09-25,boston,6603
621,2017-09-25,nyc,70415
622,2017-09-26,boston,6749
623,2017-09-26,nyc,72359
624,2017-09-26,sf,3930
625,2017-09-27,boston,6869
626,2017-09-27,sf,4183
627,2017-09-27,nyc,71007
628,2017-09-28,boston,6890
629,2017-09-28,nyc,72084
630,2017-09-28,sf,4166
631,2017-09-29,nyc,68375
632,2017-09-29,boston,7022
633,2017-09-29,sf,3663
634,2017-09-30,boston,2257
635,2017-09-30,nyc,51038
636,2017-09-30,sf,2389
637,2017-10-01,nyc,56411
638,2017-10-01,sf,2261
639,2017-10-01,boston,4709
640,2017-10-02,boston,6090
641,2017-10-02,sf,4043
642,2017-10-02,nyc,66846
643,2017-10-03,sf,4323
644,2017-10-03,nyc,70550
645,2017-10-03,boston,6398
646,2017-10-04,boston,6482
647,2017-10-04,nyc,72898
648,2017-10-04,sf,4380
649,2017-10-05,nyc,71560
650,2017-10-05,sf,4265
651,2017-10-05,boston,6458
652,2017-10-06,boston,6265
653,2017-10-06,sf,3974
654,2017-10-06,nyc,71567
655,2017-10-07,sf,2445
656,2017-10-07,nyc,64728
657,2017-10-07,boston,4964
658,2017-10-08,sf,2152
659,2017-10-08,boston,3501
660,2017-10-08,nyc,41748
661,2017-10-09,nyc,39247
662,2017-10-09,boston,2777
663,2017-10-09,sf,3635
664,2017-10-10,sf,3925
665,2017-10-10,boston,6420
666,2017-10-10,nyc,75586
667,2017-10-11,sf,3888
668,2017-10-11,nyc,64879
669,2017-10-11,boston,6471
